pT[MeV],eta,phi,E[MeV],association[0none;1vbf;2bjets;3bbellipse]
782.734433,2.355453,-2.861041,4165.605469,0
4572.832538,1.323821,1.887086,9201.298828,1
1174.570876,2.300073,-0.444007,5918.644043,0
919.459842,2.345415,0.632123,4844.535156,0
741.172526,2.080923,-0.400577,3018.568359,0
1456.240369,2.353311,-0.327192,7730.545410,0
937.775022,2.422334,-0.362882,5328.789551,0
865.622264,2.301462,-0.184202,4368.812500,0
1218.209953,2.494407,-0.011387,7430.618652,0
1055.403449,-1.917187,-1.437232,3669.557617,0
44329.674262,1.114807,2.964054,74849.882812,2
12193.292612,0.320103,-0.952881,12824.103516,2
419.074041,-1.540422,2.304649,1032.198486,0
1283.880296,-1.839065,1.939744,4142.619629,0
22640.552179,1.082423,2.962167,37250.742188,2
414.307241,1.764145,-1.502324,1252.362183,3
20631.375356,0.316558,-0.894411,21674.212891,2
13590.803095,-0.663275,-0.350649,16692.130859,1
12320.835745,1.443611,1.956520,27549.978516,1
6775.670078,0.079787,-0.053877,6798.681152,0
2541.741792,-1.709603,0.744682,7255.100586,0
12020.144027,0.335242,-0.936271,12702.713867,2
10119.137338,1.086495,2.941836,16703.554688,2
7374.143292,0.288999,-0.873733,7685.505371,2
10592.477268,1.416085,1.948641,23111.185547,1
2336.439986,0.258846,-1.572104,2419.179443,3
941.595050,-2.152552,2.491120,4109.130859,0
4587.819055,0.303819,-0.917056,4803.222168,2
1268.212674,-1.613117,3.113292,3311.514648,0
3731.119335,1.409079,2.183593,8091.300293,1
7304.388242,0.318000,-0.870749,7678.104004,2
2073.571472,1.033165,2.808325,3285.247070,2
3999.819549,1.282768,2.248792,7768.657227,1
3952.057526,0.119699,-1.848030,3982.849854,3
4682.487376,0.050302,-0.161967,4690.489746,0
2501.251253,1.376436,1.979472,5271.031738,1
739.597061,1.604047,-0.220571,1918.495361,0
978.867818,1.933996,-1.830492,3459.034180,0
3224.557691,0.034938,-1.558330,3229.543213,3
937.972280,1.319026,-0.512183,1884.484497,0
605.186461,-0.285394,-1.285949,645.275208,3
708.977385,1.310511,2.123439,1416.958252,1
1130.567031,1.330706,1.945984,2292.522705,1
1329.425096,0.863773,-2.964785,1862.219604,3
562.292565,1.590479,-2.883541,1443.401001,3
722.191022,-1.024660,-1.381551,1144.213379,0
1933.675167,-1.721721,0.467026,5583.204590,0
543.732664,-2.037473,2.656272,2125.568848,0
2897.450302,0.312678,-0.924777,3043.448486,2
542.019204,2.425913,1.722177,3092.916504,0
3109.023224,0.217948,-1.001535,3186.215820,2
560.218117,1.908572,-1.582141,1935.478394,0
481.677022,-1.566269,2.512061,1211.673218,0
526.336182,1.494744,0.539119,1240.163696,0
615.690476,-1.749494,2.363212,1829.485107,0
607.169636,-1.249030,-0.771904,1154.121460,0
615.394226,0.414142,-0.685639,683.332458,2
822.381938,-1.095079,-1.896920,1373.878906,0
724.221985,-2.410649,0.654479,4069.241455,0
1980.060809,1.872817,2.210379,6595.368164,0
932.801887,1.070184,-1.353939,1526.330688,3
608.833743,1.475479,-1.561896,1407.800903,3
709.112220,-2.343033,2.933677,3728.574707,0
662.243098,-0.109778,-0.468091,680.699829,0
428.609980,-0.544497,-2.389524,513.079773,0
1070.740434,-1.825516,2.724272,3411.627686,0
3412.180826,-0.047392,-1.607390,3418.863525,3
438.891189,0.232695,-2.665295,471.937439,3
1313.293008,1.370501,1.816729,2755.741455,1
811.749304,-1.663361,2.480684,2223.105713,0
548.626225,1.185717,2.379787,991.518494,0
460.915220,1.320883,1.713954,935.441650,1
409.335060,-2.331445,-2.852959,2131.062256,0
442.193648,-0.417523,2.585910,501.127808,0
537.820322,-0.900385,0.724974,783.487366,0
489.045459,0.743485,-2.675300,645.814209,3
477.124196,2.154549,2.092815,2089.688721,0
691.009529,2.136788,-0.115796,2971.240234,0
576.793463,-1.301304,0.323363,1146.614868,0
512.535151,1.566052,2.410040,1288.044922,0
442.856723,1.475388,-0.467397,1028.399902,0
557.864552,-2.356840,2.163425,2974.534180,0
850.548129,0.987628,2.732022,1307.667603,2
1225.860837,0.331411,-0.196589,1301.305786,0
560.600370,-0.904948,-1.414352,818.237183,0
421.725689,0.593531,-0.415432,517.395142,3
2755.175054,0.025474,-1.568913,2759.600830,3
792.412613,2.203834,-0.264896,3635.917236,0
16288.820518,1.397975,1.990987,34973.128906,1
494.629458,2.401625,-0.440592,2756.561279,0
567.312310,1.810285,-3.095840,1785.631592,3
6247.555063,-0.562972,-0.322896,7265.365723,1
2338.164048,-2.279757,-1.231893,11547.418945,0
1123.004491,-0.030202,-0.646974,1132.152588,3
481.771208,1.206203,1.347023,887.888062,0
473.979811,2.377321,2.684118,2579.573486,0
450.031358,1.650055,-1.620141,1222.918945,3
1739.323665,1.445774,2.079113,3899.194336,1
6593.474412,1.224546,2.984734,12187.232422,2
684.194838,0.218246,-1.742582,714.321960,3
423.207150,1.198804,1.869251,778.137939,1
964.950936,0.292717,-0.902678,1016.216980,2
1333.341387,1.147320,-3.063268,2315.707520,2
471.656186,-1.416345,-1.016009,1038.720459,0
450.960350,1.231553,-0.920520,849.959534,3
411.565087,2.483770,0.589824,2487.670654,0
451.312060,1.231568,-0.930354,850.615173,3
5426.870254,0.278056,-0.976786,5639.742676,2
494.831048,-1.366342,1.792216,1042.596313,0
6572.237136,0.285188,-0.898598,6842.744629,2
563.155139,1.140169,2.698390,980.598755,2
7230.468193,1.027596,2.915226,11396.820312,2
431.272971,-2.439367,-2.697971,2495.153809,0
450.737898,1.276289,-0.178013,881.580994,0
4561.505382,1.359705,2.125151,9470.211914,1
1349.213106,1.365245,2.060546,2817.917725,1
487.762096,-2.448941,0.712449,2847.676514,0
415.732975,-1.252775,0.805689,799.212219,0
419.892802,1.292207,-0.602574,833.804810,0
5602.731620,1.181700,2.880159,9992.517578,2
428.679075,2.345885,-1.796030,2263.076904,0
