pT[MeV],eta,phi,E[MeV]
547.049609,2.314890,-1.179978,2799.613281
561.049272,2.461289,-1.239367,3314.599121
1132.721393,1.780731,-1.431334,3459.149658
1472.925160,-1.543572,-1.545176,3607.610596
2223.920993,-1.616132,-1.431365,5819.729492
1601.527184,-1.329695,-3.132023,3241.653076
988.347156,-1.313013,0.094508,1974.895264
910.315613,0.217039,-2.852020,942.234985
716.721053,-1.559835,-1.775669,1785.870972
658.947223,-0.549800,-0.025498,773.766296
536.997538,2.357896,2.603200,2866.485107
724.425754,0.021159,-1.097374,737.907471
888.530955,0.892771,-0.228989,1274.447266
606.972830,-1.602004,-1.432343,1573.545654
567.803700,-1.171663,0.906564,1013.872009
570.738990,0.144163,1.362020,593.329285
725.923511,0.578247,1.054720,862.079407
5524.372362,-0.029869,-0.925567,5528.599121
620.823689,0.767980,-0.559001,824.971680
552.787957,-1.689924,-2.145396,1555.078369
561.824389,0.895617,3.087051,814.667480
1395.605672,-1.889482,1.385129,4724.155762
800.174308,-0.090791,0.288218,815.506592
503.389375,1.912796,-1.328753,1747.225342
851.091944,1.610152,-1.891322,2218.691895
574.647050,0.999481,-1.050697,897.297729
731.259996,-1.307455,-2.877830,1457.249268
509.247426,0.251621,1.456532,543.673950
645.460366,1.802201,2.901002,2014.776001
