pT[MeV],eta,phi,E[MeV]
980.027257,-2.266467,-1.430183,4779.151367
549.455488,-2.252499,1.717337,2645.634766
988.821155,-2.409953,-1.322631,5550.649414
614.682624,0.962520,-2.571949,932.593018
912.517636,-1.990634,-2.418020,3405.084229
923.082703,-2.338435,-1.984709,4830.420898
1412.116509,-1.934053,0.675601,4988.171387
1922.681527,-1.080486,-3.076818,3161.607422
1260.235165,-1.615582,-1.684702,3298.210693
621.494531,1.542122,0.576295,1525.463379
586.390259,-1.297296,-1.328128,1161.452271
864.288421,0.786865,-0.085940,1154.415161
856.573112,2.452363,-1.310621,5013.687500
1127.434250,-1.105071,-0.718726,1893.955444
826.749365,1.146193,-1.900693,1438.730957
1485.433782,-1.195970,-2.409427,2684.226562
1079.916701,-1.510941,-1.565956,2569.511475
996.462769,-1.067918,1.052240,1626.765137
1347.041657,-0.644353,1.504819,1642.432617
966.690201,1.408349,2.397926,2099.338379
512.031192,-1.339778,-1.514274,1053.851929
764.365770,1.732928,-1.449780,2234.003906
631.554019,-1.544911,-2.221331,1553.867554
912.286698,-1.961600,1.742453,3310.588623
840.688755,-0.993862,-1.408554,1298.731689
901.556596,1.366146,-2.800180,1887.302490
831.529565,1.428539,-1.296633,1839.762207
608.897099,-0.016773,0.765724,624.771790
573.543524,-2.062937,1.076438,2297.306641
865.220957,-1.828923,-1.631395,2766.936035
548.761450,-0.635951,1.434980,678.041321
727.369140,-2.133789,-1.888981,3118.155029
731.085539,-0.246519,-1.874745,766.231567
2663.729876,1.823264,-2.044534,8463.201172
667.055871,0.195641,0.791400,694.041016
533.513368,0.407306,-0.772535,594.984619
562.363723,-1.153569,-2.775428,989.806702
665.872673,2.487131,-1.448477,4034.230957
972.939715,-1.349528,0.514490,2006.667969
524.150517,1.663959,-2.363829,1440.215698
1192.977504,-1.990583,-1.543911,4449.859375
671.231940,0.960425,-1.885784,1014.992188
902.015984,-1.952940,1.819759,3246.307861
618.756625,0.018098,-1.769263,634.401245
1174.541499,2.408731,-2.367380,6584.650879
527.120441,1.262775,-2.861589,1015.928528
629.310599,1.145139,1.762380,1097.947388
1047.238249,-1.985512,-1.005311,3887.806152
1148.653423,-0.812945,0.044382,1555.856323
722.462889,-2.287025,-2.908309,3595.941650
1221.131668,-1.843069,2.913392,3955.400635
1431.909059,-1.121024,3.015271,2433.910889
660.818742,2.417200,-0.504646,3737.417236
