pT[MeV],eta,phi,E[MeV]
931.468245,-2.237124,2.808285,4414.163574
753.824891,2.030045,-1.260719,2922.805908
778.640569,2.289826,2.108745,3885.783691
520.748739,2.074448,1.058992,2109.950684
889.300621,-2.306752,-1.150645,4511.508789
539.973113,-2.338561,-2.751420,2828.253174
858.467980,-2.363709,3.015831,4605.381836
1503.571995,1.871381,0.604487,5002.208008
707.647833,-1.183808,-2.131852,1271.859375
3966.845301,-1.447002,-2.399639,8897.990234
2496.506990,2.458591,-1.688640,14697.450195
1911.004179,2.120770,0.439702,8082.361328
2375.746323,-0.846577,0.391470,3282.130371
557.519220,-1.652072,2.828446,1514.376465
512.461474,2.206324,2.226286,2359.500732
1766.569978,-0.212780,1.530424,1812.094971
1507.301000,-0.329607,0.241182,1596.036621
4114.457292,-1.535377,-2.366455,9995.920898
1847.182817,-0.663503,0.189379,2273.207275
627.173999,-1.741074,2.776066,1848.789551
1790.545961,0.869996,-1.736697,2515.879395
726.679472,0.285413,1.906581,769.246399
1350.880520,-0.550676,-2.872153,1567.159912
649.322932,-0.531871,0.282937,756.340271
990.604211,-1.623831,-1.445734,2613.785645
880.424539,1.989095,2.406208,3280.675049
588.450281,-1.274917,3.004726,1143.627563
955.183450,2.117513,-3.141307,4028.885010
936.875828,1.313689,0.443989,1873.662476
595.035643,-0.257382,-1.390127,630.495911
808.474195,0.292230,2.228372,854.714294
930.087945,2.308804,0.668217,4727.725098
650.302470,0.332760,0.354232,700.680847
708.517184,1.843852,-1.038828,2299.496582
566.126891,0.018130,-0.493812,583.167908
605.678795,2.014757,-2.737468,2315.558594
538.426745,1.201407,-0.517007,985.977966
512.931640,0.927505,3.067363,762.716187
552.768515,-0.604674,0.962939,671.602478
694.028656,-2.471086,-0.239876,4138.690430
1255.212934,-1.747981,-0.056338,3716.246582
1465.235833,-1.427059,-2.284446,3231.255127
540.703479,-2.367387,2.770549,2913.196045
598.505723,2.438557,-0.459627,3457.329102
910.497710,2.367654,1.278417,4903.209473
840.166032,-0.564313,0.623548,987.442322
844.080876,-2.290741,2.008723,4215.730957
2204.463261,-0.657131,-0.025084,2701.414062
1162.554285,1.290972,2.051478,2277.841797
630.685290,-1.541825,-2.368421,1547.418945
719.538080,1.824882,-1.022697,2293.568848
3231.307439,-1.821438,-2.525108,10248.285156
