pT[MeV],eta,phi,E[MeV]
3000.791402,-2.218627,2.234454,13959.556641
1186.236568,-2.487473,2.078026,7186.365723
1081.714854,2.105933,1.511452,4511.013672
1069.351232,0.876176,-3.082350,1513.204102
1411.623777,-2.052465,2.327697,5588.588379
1232.881073,-2.412554,1.191465,6937.605469
695.856972,2.180810,1.990688,3122.796143
1548.651117,0.862031,1.898019,2165.078857
3223.052434,-1.441959,-0.703925,7197.519043
519.883557,-2.185411,2.188177,2345.383057
529.767055,-1.357107,1.240840,1106.078979
1643.999684,0.853216,2.930758,2283.860596
637.790334,-2.334475,1.346627,3326.104736
1343.317690,1.350524,2.471787,2769.780762
699.350492,-1.701244,1.538324,1985.198975
996.920814,-1.402806,2.732971,2154.136475
1222.142232,-0.593033,1.549698,1450.153320
638.317985,0.069849,-2.424423,654.920410
873.980417,1.101844,-0.620673,1467.061401
1948.237036,-1.453752,-1.123755,4398.248047
525.691827,0.795104,-1.126447,714.564392
810.140940,1.751089,-3.064390,2407.921143
615.625886,1.621025,1.173930,1623.863892
789.778581,-0.485290,-0.201566,895.559753
702.004043,-1.929237,-2.559228,2471.317383
514.107764,-1.294006,-2.243610,1017.663147
576.736414,0.544249,-3.093346,678.786255
591.095984,-1.721893,1.710411,1712.144653
642.096505,-0.079373,-0.104736,659.067993
1167.406967,0.948993,0.362106,1739.347290
973.321404,-1.319534,2.248779,1955.977661
1806.815899,0.071461,1.179697,1816.800171
3778.034918,-1.942512,2.062068,13449.761719
873.702848,-1.131095,1.387571,1501.289062
969.005575,-2.243902,-0.254376,4622.374512
514.868842,0.467748,-1.021502,589.002014
2235.572938,-0.970118,-1.126855,3375.576172
2813.835653,-1.520802,-0.686555,6746.811523
1013.030717,-1.643424,-1.805605,2721.628662
1475.461191,-1.650302,1.928459,3986.590820
3072.614836,-1.556495,-0.741114,7610.681152
1948.327162,0.798739,-2.881978,2607.319336
1056.321175,-1.783672,2.481173,3235.192871
921.595853,-1.704196,-1.027177,2620.536865
