pT[MeV],eta,phi,E[MeV]
517.402590,-2.173559,-0.962880,2307.514893
1436.570139,1.042229,0.746321,2294.283691
2111.514111,-1.707544,-0.354190,6015.962402
558.752045,2.056773,-0.807892,2225.019043
1885.420249,-2.131033,-0.836373,8054.098145
1342.520332,-0.091363,1.450421,1355.332886
1380.299426,1.657059,0.218905,3753.258545
1130.775054,2.145559,1.820762,4900.401855
1143.433814,1.896343,-0.318975,3896.811035
802.328196,0.226832,-1.504005,834.807739
1908.365392,1.689287,0.962701,5345.502441
2068.424976,0.267596,2.295995,2147.465576
724.016714,1.831559,1.951150,2322.418945
984.901633,0.784057,2.452122,1310.914429
539.731279,1.590184,0.465910,1385.665649
503.297546,1.723922,-1.751796,1462.423462
780.795187,-0.412334,1.707726,859.523499
734.695413,0.397426,2.403544,805.666016
961.918974,1.065196,0.837751,1567.453369
566.279939,-1.942641,0.338491,2020.916382
654.987362,2.036164,0.777266,2555.543701
1244.677721,1.255003,2.801647,2364.607178
959.392799,1.150532,0.851780,1673.419067
1121.714906,0.172467,2.285800,1146.962524
698.929443,2.015837,2.266680,2673.631592
548.342588,-2.377528,2.004871,2983.782715
738.441841,1.351341,-0.782205,1528.129028
1133.055408,2.269627,1.953516,5541.910645
930.019671,0.891477,0.860430,1332.042480
