pT[MeV],eta,phi,E[MeV]
1213.456425,2.418989,2.636379,6871.709961
974.058168,0.750952,1.544017,1269.555298
4870.422437,-1.726047,-0.682049,14116.115234
2634.965418,-1.722855,1.298286,7615.075195
1857.989882,-1.396379,2.737318,3986.005859
510.383889,2.214642,0.275535,2369.061035
834.210414,-1.851893,1.290075,2726.775391
1398.014349,2.410891,-1.512613,7853.620605
1090.280357,1.096103,2.651854,1818.855469
1693.297637,-1.647110,-0.497170,4560.968262
862.280154,2.446893,0.975641,5019.964844
1766.694709,-1.757152,1.393799,5274.054688
1020.037083,1.330716,3.018465,2069.287354
1335.731808,0.486375,1.126351,1503.354858
1468.889868,1.153833,2.493233,2563.890869
1441.401362,-1.215465,2.338788,2647.524170
717.257064,-2.254743,0.813025,3459.186279
2558.628266,0.993275,-3.095927,3930.515625
924.660401,1.830275,-1.724871,2960.342041
702.541473,-0.786241,1.769851,941.509949
1136.932066,2.187293,-0.029902,5131.324707
505.536322,0.683248,1.900832,643.515869
618.268795,-1.670412,2.961151,1706.737061
842.139593,-1.005858,-0.915146,1312.749390
637.298376,1.755674,3.137314,1904.314209
952.876739,0.559730,-2.801438,1114.853027
1174.313122,1.570738,1.331109,2949.708740
535.421535,-0.991500,1.184449,832.660583
563.117299,-2.424450,-2.501030,3208.453613
1164.462703,-1.881592,0.987514,3912.926514
561.102805,-1.222759,1.374601,1044.868652
583.681718,-2.156391,-0.072898,2559.063477
605.554402,1.323536,-1.373386,1226.005005
578.692576,1.769978,0.504571,1753.521851
567.002987,-1.057948,1.652331,925.618591
665.180948,-1.434078,1.563356,1481.332031
640.347900,-1.062190,1.305745,1046.201660
883.297051,1.220594,2.926261,1633.120239
590.041804,-0.729208,0.727916,766.802185
530.357000,1.714087,-0.598899,1526.326904
550.061261,1.777056,2.801068,1678.428833
584.036051,-1.702962,-0.850050,1662.292114
530.047488,1.908119,2.761852,1831.011475
683.177329,1.709337,-0.599615,1954.192749
753.371468,-1.529253,0.659517,1825.273315
847.657541,2.438882,0.404908,4896.141602
1243.361976,-1.042636,2.572316,1987.576416
672.516040,-1.023509,-3.069721,1065.792847
582.524246,0.155714,2.272298,605.895020
503.812016,0.190300,-0.062299,531.610657
773.577984,-1.212388,-0.018482,1422.122314
719.520750,1.350371,-2.831090,1488.053589
956.905988,-1.792822,-0.134935,2956.723633
1865.903766,-1.732999,1.169998,5444.958008
