pT[MeV],eta,phi,E[MeV]
1470.081214,2.466630,-1.028054,8724.245117
879.165195,2.140784,1.895833,3793.383545
8448.691582,1.601907,2.140235,21814.958984
845.809590,1.677923,0.271699,2347.546631
9889.112404,2.050939,2.355243,39081.078125
5434.576061,1.710922,2.150004,15529.274414
3894.282191,2.042092,2.457390,15259.361328
7413.631429,2.019913,2.393949,28432.876953
962.349216,1.634458,-1.523769,2564.486328
1385.637869,1.655491,-0.679584,3762.273926
1080.371999,0.872318,-1.184833,1524.557739
1051.066466,-1.511657,1.887074,2502.690918
2100.320747,1.591892,2.022448,5375.037109
2075.256310,2.429455,-2.342356,11872.094727
1559.801809,-0.227672,1.396426,1606.476807
700.558992,-1.644516,1.248358,1886.733398
963.723218,-0.706413,-1.544890,1222.343140
564.713663,-1.730920,1.735552,1650.067627
657.690803,2.069934,2.276005,2651.043457
755.290600,-1.241866,2.454661,1423.373901
755.248706,-1.664019,1.748672,2070.264648
920.216618,0.706212,2.083435,1167.756714
1336.021542,-0.951966,1.493018,1993.412720
1012.815068,0.084059,0.752201,1025.933472
735.801620,-0.319030,2.063756,786.055481
715.938129,0.660218,3.049768,888.750793
577.385217,0.238737,2.426185,610.096680
894.407217,-2.109745,1.603272,3744.537598
793.465187,0.712377,2.163561,1013.119263
1122.286969,0.270555,-2.410806,1171.954468
561.503890,1.867398,-2.510302,1865.479614
951.473506,2.216641,2.351047,4419.626465
1050.247713,1.405931,-1.084500,2275.163330
1904.950421,-1.700617,1.589284,5392.716797
1656.460831,1.592556,2.210764,4242.590332
797.440105,2.220320,2.343697,3718.234375
