pT[MeV],eta,phi,E[MeV]
592.810955,2.226441,0.287250,2782.226562
1260.973170,-2.254853,2.414227,6078.725586
871.851687,2.430921,-2.383333,4996.482422
548.162371,1.891712,-1.908367,1863.920532
7415.909652,0.800428,-2.493639,9922.100586
695.354714,1.425930,-0.231608,1536.830811
1221.721570,-2.211273,-3.134232,5644.181152
3704.973423,-0.726212,-2.016804,4727.704102
5255.547256,-0.897768,-1.826772,7520.927246
1249.125518,0.149072,-2.124315,1270.718750
1396.633702,-2.186487,-2.580777,6297.700684
1321.396918,1.614230,-0.287228,3453.688965
1313.560540,-2.150810,-0.976150,5721.079102
2190.136479,0.796345,-2.651120,2925.407227
884.627816,2.324647,2.684713,4567.204590
1604.721585,-0.716189,-1.008341,2038.951294
611.042512,-1.192758,-1.417030,1108.557617
1311.264523,1.990231,2.996110,4889.000488
838.407966,1.301619,0.167749,1660.613892
998.715845,0.476533,-2.857698,1122.980957
557.177977,0.442686,-2.871482,628.367126
1293.188566,0.132908,-2.644295,1312.071655
715.824825,1.373376,0.599884,1510.378174
1630.851345,0.449644,-2.436632,1803.917480
567.858091,0.409587,-1.999716,631.769714
608.175951,-1.716015,-2.958218,1751.672607
649.560804,-0.529898,-1.936215,755.907410
891.671908,2.026399,-0.205123,3444.025146
542.656850,1.789999,0.159322,1676.229614
1044.416341,1.244494,-2.771253,1968.073242
526.224121,0.707593,-2.510522,678.070007
605.371982,2.496146,1.957201,3700.860107
681.933403,-0.710025,-2.368699,872.407715
721.014437,-0.358644,0.087681,780.465027
711.669142,-0.877940,-3.062398,1013.669189
514.918790,0.198903,0.814340,543.368896
1563.327997,-0.308516,-2.228721,1644.254639
1173.259755,-0.178645,-1.501119,1200.174438
651.970334,-0.140024,-0.875837,673.003601
814.940061,2.078410,-1.719587,3310.330078
624.950940,2.238945,0.015949,2968.675537
1633.248347,1.385011,0.749828,3469.532715
1183.337881,0.482283,3.043251,1330.984375
576.541447,-1.102657,-1.866650,974.070557
664.802103,-0.071853,1.362640,680.975342
737.702826,-1.225912,-2.154758,1372.148193
