pT[MeV],eta,phi,E[MeV]
515.249390,2.211257,0.737101,2383.703125
1438.803243,-2.069211,-0.278855,5789.165039
2257.886647,-1.353112,0.280938,4662.235352
765.350363,-0.643674,-3.024534,939.870056
1202.650119,-1.624426,1.536225,3173.573242
712.684198,2.485020,0.214024,4308.541992
1086.144631,-0.006074,-2.564245,1095.095215
11058.967448,-0.888846,-1.364953,15723.438477
1027.985101,2.281213,-2.601470,5085.664062
557.152403,0.294154,2.271582,597.947937
1302.504978,-1.302280,-1.667568,2575.960693
1620.059763,-0.476121,2.514859,1812.563477
1642.108881,-0.649692,-1.303344,2005.900269
1506.377700,-1.934743,-0.727784,5324.410645
1303.244090,-0.233891,2.363084,1346.307861
2837.350918,-1.068886,-1.128495,4620.642090
681.498552,-0.982087,-2.151505,1046.775024
2137.917224,1.214684,-3.015775,3921.323730
1333.502469,1.620634,0.281992,3505.937256
1019.996017,1.754987,2.259516,3040.897949
1405.400446,-0.042685,2.686326,1413.588013
1700.932880,-1.047961,-1.076348,2727.176514
1110.256339,-2.312475,2.657450,5663.144043
640.000038,1.798799,-1.270448,1991.419922
986.467025,-0.720683,-1.537367,1261.669556
1293.141376,-2.444568,3.020874,7509.492188
1970.463338,0.888170,1.893416,2803.589600
1951.267581,0.590486,2.315326,2305.674072
553.913132,-1.559860,-2.278889,1383.068848
761.518298,1.232399,2.548009,1423.677490
583.762704,1.348128,1.198111,1207.705811
2075.123517,2.286686,-1.091238,10318.317383
878.380144,-0.656699,-1.419022,1083.713135
623.288749,0.360501,-2.923388,678.736023
841.392635,0.088838,2.889550,856.167786
774.559140,-0.464816,2.887076,871.004822
551.163306,-0.936372,2.619346,822.892944
517.704307,-0.469864,-2.334990,592.581665
502.693817,0.717850,-1.758524,652.964417
733.689828,-0.693695,2.617642,927.969604
1128.640024,1.383756,-1.703669,2397.062256
756.266454,2.479282,-0.132181,4545.980469
564.985977,-0.683092,-3.136581,715.747070
516.897966,0.441683,2.949813,585.034485
979.023790,-1.557466,0.029232,2430.739258
513.094098,0.426793,-3.120496,577.653137
659.616146,-0.729765,-1.346473,854.665283
929.924079,1.735378,-2.914898,2722.400879
2917.901553,1.171049,3.038236,5159.884277
2062.015095,0.160683,-2.955434,2093.349854
1544.417265,-1.189582,0.740925,2775.783691
1163.774070,0.196021,2.530351,1194.387085
1073.704483,0.136400,-2.558265,1092.658691
930.426362,2.169567,-1.805258,4128.204102
948.664934,1.572705,2.602643,2388.622070
2397.552176,-0.110442,1.602560,2416.223389
610.854048,-1.212927,2.573685,1126.735840
643.209835,-1.981974,-2.389694,2382.312744
3049.382960,0.022253,2.795513,3053.329590
608.771547,-1.176908,2.411077,1090.317627
588.396219,-2.344693,2.738989,3099.857422
2250.491157,-0.968844,-1.505695,3394.831299
877.563119,-0.972972,-1.409910,1334.088257
