pT[MeV],eta,phi,E[MeV]
710.905451,2.298943,2.338669,3580.001221
644.175828,0.567949,0.970580,763.754517
575.925526,-1.903296,-1.949282,1979.499756
5300.740898,1.363804,-0.941333,11044.252930
1774.270802,2.049982,-0.477941,7006.650391
3923.761991,-2.122389,-1.897167,16619.302734
1032.583943,-0.875117,-1.340887,1460.546387
2234.565127,-1.548818,-2.103829,5497.016602
1011.494616,1.902339,-0.332136,3467.568848
873.824610,0.396518,-2.014955,953.691589
1332.113813,-0.879538,-1.633886,1886.620483
546.060744,-2.037498,-1.048956,2134.682129
873.316505,0.780835,2.301642,1161.767212
827.037559,-1.632976,2.578442,2202.046631
619.411075,0.378702,-2.192714,678.863281
519.779496,-0.365541,-2.339413,572.177979
1244.303225,-1.397387,2.265415,2673.832275
1013.935379,-0.147076,-1.704197,1034.380859
729.807644,-0.518939,-2.530370,841.949402
683.778423,-0.291795,2.668718,726.625793
984.302150,0.013487,0.612827,994.236755
559.185133,1.453255,-1.564318,1268.891113
723.704523,-2.122525,0.589487,3068.762695
523.172988,0.525040,-1.969584,613.054443
975.130349,0.407246,-0.514844,1066.290161
607.045937,-1.166987,3.097105,1078.562866
539.075408,0.207295,-2.072866,568.110474
798.387839,1.141289,-1.400107,1384.355957
1157.740988,2.422217,-0.134215,6577.182617
1639.449587,-2.084774,0.118372,6696.238770
766.746718,-1.616471,-1.984749,2011.381592
1119.504912,-0.167728,-2.365411,1143.836182
674.997740,1.696340,2.978096,1907.695801
728.773674,-0.278074,-1.823127,769.888672
676.822044,-1.735384,-0.830332,1983.753540
989.099069,-1.470128,-2.779628,2269.177979
917.354520,-1.379641,-2.479902,1942.996948
616.230180,-1.786448,-0.021564,1895.668701
723.598319,2.369279,-3.029706,3903.858154
601.677259,-1.924091,2.906786,2108.967529
1036.744479,-2.415203,1.739908,5849.624023
